Record_ID,Date,Region,Crop,Rainfall_mm,Yield_kg,Price_GHS,Temperature_C,Farmer_Count,Revenue
38,2021-01-03,Western,Cocoa,3.71,0.0,10.12,30.1,365,0.0
39,2021-01-03,Eastern,Maize,5.72,0.0,0.0,32.9,192,0.0
40,2021-01-03,Eastern,Cassava,4.16,0.0,0.88,28.7,112,0.0
41,2021-01-03,Eastern,Cocoa,5.47,244.96,11.31,27.3,313,2770.4976
42,2021-01-04,Greater Accra,Maize,3.0,0.0,1.88,24.5,421,0.0
43,2021-01-04,Greater Accra,Cassava,3.6,0.0,1.17,26.5,166,0.0
44,2021-01-04,Ashanti,Maize,5.15,2053.92,2.18,26.4,167,4477.5456
45,2021-01-04,Ashanti,Cassava,7.47,0.0,1.04,26.5,193,0.0
46,2021-01-04,Ashanti,Cocoa,6.11,0.0,9.42,24.9,143,0.0
47,2021-01-04,Northern,Maize,1.72,0.0,2.21,25.7,271,0.0
48,2021-01-04,Northern,Cassava,0.13,0.0,1.23,26.6,443,0.0
49,2021-01-04,Northern,Cocoa,4.43,171.93,11.76,24.3,433,2021.8968
50,2021-01-04,Western,Maize,12.34,0.0,2.29,25.3,494,0.0
51,2021-01-04,Western,Cassava,12.62,0.0,0.95,24.7,144,0.0
52,2021-01-04,Western,Cocoa,0.14,0.0,10.46,30.6,142,0.0
53,2021-01-04,Eastern,Maize,0.0,1397.55,2.34,32.8,469,3270.267
54,2021-01-04,Eastern,Cassava,10.29,0.0,1.04,29.7,276,0.0
55,2021-01-04,Eastern,Cocoa,7.13,0.0,12.99,32.6,418,0.0
56,2021-01-05,Greater Accra,Maize,2.37,1136.35,2.26,29.0,266,2568.1509999999994
57,2021-01-05,Greater Accra,Cassava,5.99,0.0,1.1,30.3,422,0.0
58,2021-01-05,Ashanti,Maize,4.93,2069.52,2.47,25.1,230,5111.714400000001
59,2021-01-05,Ashanti,Cassava,0.0,0.0,1.01,25.2,125,0.0
60,2021-01-05,Ashanti,Cocoa,0.0,0.0,12.59,28.3,217,0.0
61,2021-01-05,Northern,Cassava,7.98,0.0,1.27,31.5,119,0.0
62,2021-01-05,Northern,Cocoa,1.65,0.0,12.03,26.5,68,0.0
63,2021-01-05,Western,Cassava,0.0,6645.7,1.13,31.5,397,7509.640999999999
64,2021-01-05,Western,Cocoa,4.35,382.08,9.98,33.6,93,3813.1584
65,2021-01-05,Eastern,Maize,3.65,0.0,2.59,26.5,196,0.0
66,2021-01-05,Eastern,Cassava,3.87,0.0,1.15,28.5,422,0.0
67,2021-01-05,Eastern,Cocoa,4.17,0.0,9.28,27.9,457,0.0
68,2021-01-06,Greater Accra,Maize,2.18,1191.79,2.11,29.8,269,2514.6769
69,2021-01-06,Greater Accra,Cassava,0.0,6390.39,1.11,26.7,446,7093.332900000001
70,2021-01-06,Greater Accra,Cocoa,4.46,0.0,12.12,30.1,499,0.0
71,2021-01-06,Ashanti,Cassava,4.37,0.0,1.06,33.9,316,0.0
72,2021-01-06,Ashanti,Cocoa,0.15,0.0,12.61,32.4,147,0.0
73,2021-01-06,Western,Cassava,7.37,0.0,1.16,31.6,132,0.0
74,2021-01-06,Western,Cocoa,5.99,410.23,11.61,26.3,418,4762.7703
75,2021-01-06,Eastern,Maize,0.0,0.0,2.07,32.2,285,0.0
76,2021-01-06,Eastern,Cassava,6.21,0.0,0.92,24.3,256,0.0
77,2021-01-06,Eastern,Cocoa,5.72,0.0,11.74,29.5,484,0.0
78,2021-01-07,Greater Accra,Maize,2.1,0.0,2.47,28.0,296,0.0
79,2021-01-07,Greater Accra,Cassava,3.32,0.0,1.18,24.7,118,0.0
80,2021-01-07,Greater Accra,Cocoa,7.02,0.0,11.72,26.4,420,0.0
81,2021-01-07,Ashanti,Maize,0.0,0.0,1.96,31.0,330,0.0
82,2021-01-07,Ashanti,Cassava,9.05,0.0,0.94,25.9,452,0.0
83,2021-01-07,Ashanti,Cocoa,2.61,0.0,11.3,27.6,95,0.0
84,2021-01-07,Northern,Maize,2.99,0.0,1.84,32.0,170,0.0
85,2021-01-07,Northern,Cassava,2.14,8205.46,0.9,30.0,229,7384.914
86,2021-01-07,Northern,Cocoa,0.0,0.0,11.66,27.7,265,0.0
87,2021-01-07,Western,Maize,3.35,0.0,1.83,32.7,343,0.0
88,2021-01-07,Western,Cassava,4.32,8865.4,0.88,27.2,280,7801.552
89,2021-01-07,Eastern,Maize,0.82,0.0,2.36,28.8,277,0.0
90,2021-01-07,Eastern,Cassava,0.0,0.0,1.04,25.3,474,0.0
91,2021-01-07,Eastern,Cocoa,2.95,0.0,10.44,33.3,486,0.0
92,2021-01-08,Greater Accra,Cassava,3.16,5920.07,0.98,25.7,360,5801.6686
93,2021-01-08,Greater Accra,Cocoa,2.68,304.86,11.12,31.2,111,3390.0432
94,2021-01-08,Ashanti,Maize,5.78,0.0,2.04,31.7,375,0.0
95,2021-01-08,Ashanti,Cassava,8.75,0.0,1.16,31.7,87,0.0
96,2021-01-08,Ashanti,Cocoa,0.0,0.0,11.29,24.5,227,0.0
97,2021-01-08,Northern,Maize,0.0,0.0,1.88,25.4,378,0.0
98,2021-01-08,Northern,Cassava,4.5,0.0,1.04,27.5,354,0.0
99,2021-01-08,Northern,Cocoa,6.83,0.0,9.9,27.8,50,0.0
100,2021-01-08,Western,Maize,6.46,0.0,1.93,32.0,319,0.0
101,2021-01-08,Western,Cassava,8.18,0.0,1.24,27.2,91,0.0
102,2021-01-08,Western,Cocoa,7.76,0.0,10.63,28.6,471,0.0
103,2021-01-08,Eastern,Maize,0.0,0.0,2.26,24.7,153,0.0
104,2021-01-08,Eastern,Cassava,3.93,0.0,1.12,27.3,497,0.0
105,2021-01-08,Eastern,Cocoa,12.15,0.0,13.27,31.5,460,0.0
106,2021-01-09,Greater Accra,Maize,0.09,0.0,2.45,32.8,402,0.0
107,2021-01-09,Greater Accra,Cocoa,8.89,0.0,11.33,28.9,373,0.0
108,2021-01-09,Ashanti,Maize,4.11,0.0,2.4,29.4,348,0.0
109,2021-01-09,Ashanti,Cassava,7.6,9388.49,0.98,30.1,267,9200.7202
110,2021-01-09,Ashanti,Cocoa,5.84,0.0,9.11,32.7,405,0.0
111,2021-01-09,Northern,Maize,3.25,890.99,1.89,32.4,316,1683.9711
112,2021-01-09,Northern,Cassava,4.63,0.0,1.21,25.2,362,0.0
113,2021-01-09,Northern,Cocoa,3.61,0.0,12.19,26.1,362,0.0
114,2021-01-09,Western,Cassava,0.7,0.0,1.24,27.5,259,0.0
115,2021-01-09,Western,Cocoa,9.69,0.0,10.09,29.8,229,0.0
116,2021-01-09,Eastern,Maize,7.57,0.0,2.3,30.3,205,0.0
117,2021-01-09,Eastern,Cassava,4.01,0.0,1.22,29.4,409,0.0
118,2021-01-09,Eastern,Cocoa,6.05,322.77,9.92,33.0,81,3201.8783999999996
119,2021-01-10,Greater Accra,Maize,6.76,0.0,2.06,31.1,243,0.0
120,2021-01-10,Greater Accra,Cassava,1.51,0.0,1.18,25.0,313,0.0
121,2021-01-10,Greater Accra,Cocoa,1.08,0.0,10.77,24.3,337,0.0
122,2021-01-10,Ashanti,Maize,3.99,1319.52,2.0,30.7,377,2639.04
123,2021-01-10,Ashanti,Cocoa,0.0,232.62,12.1,32.6,449,2814.7019999999998
124,2021-01-10,Northern,Maize,6.41,1157.61,2.57,24.1,312,2975.0576999999994
125,2021-01-10,Northern,Cassava,9.53,0.0,1.12,27.4,435,0.0
126,2021-01-10,Northern,Cocoa,3.09,0.0,10.5,31.7,442,0.0
127,2021-01-10,Western,Maize,6.45,0.0,2.17,24.2,63,0.0
128,2021-01-10,Western,Cassava,8.29,0.0,0.96,30.5,53,0.0
129,2021-01-10,Eastern,Maize,8.38,0.0,2.5,29.0,83,0.0
130,2021-01-10,Eastern,Cassava,6.83,0.0,0.95,24.1,76,0.0
131,2021-01-10,Eastern,Cocoa,11.85,0.0,9.78,33.1,459,0.0
132,2021-01-11,Greater Accra,Maize,9.03,0.0,2.11,33.6,242,0.0
133,2021-01-11,Greater Accra,Cocoa,0.0,0.0,12.09,27.0,276,0.0
134,2021-01-11,Ashanti,Maize,1.41,0.0,1.92,28.8,299,0.0
135,2021-01-11,Ashanti,Cocoa,5.7,0.0,10.45,31.7,122,0.0
136,2021-01-11,Northern,Cassava,1.19,0.0,1.04,26.5,180,0.0
137,2021-01-11,Western,Cassava,0.0,0.0,1.26,31.9,106,0.0
138,2021-01-11,Western,Cocoa,0.24,0.0,12.74,31.3,198,0.0
139,2021-01-11,Eastern,Maize,5.91,0.0,2.36,30.9,414,0.0
140,2021-01-11,Eastern,Cassava,0.39,0.0,1.27,29.6,135,0.0
141,2021-01-11,Eastern,Cocoa,0.0,0.0,13.16,33.4,131,0.0
142,2021-01-12,Greater Accra,Maize,3.47,0.0,2.25,30.4,63,0.0
143,2021-01-12,Greater Accra,Cassava,0.0,0.0,0.89,27.2,53,0.0
144,2021-01-12,Greater Accra,Cocoa,5.62,0.0,12.8,30.2,431,0.0
145,2021-01-12,Ashanti,Maize,3.12,0.0,1.87,24.1,78,0.0
146,2021-01-12,Ashanti,Cassava,0.3,0.0,1.12,32.7,288,0.0
147,2021-01-12,Ashanti,Cocoa,1.74,0.0,9.05,28.7,425,0.0
148,2021-01-12,Northern,Maize,0.0,770.58,1.82,33.9,122,1402.4556000000002
149,2021-01-12,Northern,Cocoa,2.49,0.0,12.79,30.0,111,0.0
150,2021-01-12,Western,Maize,0.0,0.0,2.0,33.4,112,0.0
151,2021-01-12,Western,Cassava,8.72,0.0,1.2,32.0,103,0.0
152,2021-01-12,Western,Cocoa,10.29,0.0,13.26,25.7,468,0.0
153,2021-01-12,Eastern,Maize,6.6,1304.52,2.26,29.9,447,2948.2151999999996
154,2021-01-12,Eastern,Cassava,2.53,0.0,0.98,28.8,244,0.0
155,2021-01-12,Eastern,Cocoa,8.53,0.0,9.4,28.1,87,0.0
156,2021-01-13,Greater Accra,Maize,7.3,0.0,1.88,26.2,333,0.0
157,2021-01-13,Greater Accra,Cocoa,10.35,0.0,10.51,30.8,396,0.0
158,2021-01-13,Ashanti,Maize,5.45,0.0,2.54,26.5,108,0.0
159,2021-01-13,Ashanti,Cassava,8.31,0.0,1.12,31.5,56,0.0
160,2021-01-13,Ashanti,Cocoa,11.8,0.0,12.77,24.1,209,0.0
161,2021-01-13,Northern,Maize,5.86,0.0,2.24,24.1,273,0.0
162,2021-01-13,Northern,Cocoa,2.4,206.37,9.07,32.2,375,1871.7759
163,2021-01-13,Western,Maize,3.78,0.0,1.96,31.5,327,0.0
164,2021-01-13,Western,Cassava,7.55,9047.6,1.16,24.7,443,10495.216
165,2021-01-13,Western,Cocoa,6.76,0.0,10.66,24.7,82,0.0
166,2021-01-13,Eastern,Maize,1.69,0.0,2.39,28.5,479,0.0
167,2021-01-13,Eastern,Cassava,11.45,11650.52,1.18,26.3,76,13747.6136
168,2021-01-13,Eastern,Cocoa,8.03,331.04,12.9,32.6,133,4270.416
169,2021-01-14,Greater Accra,Maize,1.4,0.0,2.0,26.1,369,0.0
170,2021-01-14,Greater Accra,Cassava,4.73,0.0,1.06,29.4,109,0.0
171,2021-01-14,Greater Accra,Cocoa,6.99,0.0,12.27,30.3,497,0.0
172,2021-01-14,Ashanti,Maize,0.0,0.0,1.96,28.6,271,0.0
173,2021-01-14,Northern,Maize,2.63,1226.37,2.03,32.0,444,2489.5310999999997
174,2021-01-14,Northern,Cassava,0.0,0.0,1.14,28.0,144,0.0
175,2021-01-14,Northern,Cocoa,4.98,0.0,9.65,25.0,95,0.0
176,2021-01-14,Western,Cassava,8.83,0.0,1.1,24.1,402,0.0
177,2021-01-14,Western,Cocoa,0.25,271.07,9.6,29.7,223,2602.272
178,2021-01-14,Eastern,Maize,6.31,1708.5,2.62,25.2,172,4476.27
179,2021-01-14,Eastern,Cocoa,5.85,0.0,12.07,32.0,367,0.0
180,2021-01-15,Greater Accra,Maize,3.79,0.0,2.28,30.0,71,0.0
181,2021-01-15,Greater Accra,Cassava,8.81,6079.39,0.97,25.6,350,5897.0083
182,2021-01-15,Greater Accra,Cocoa,2.44,0.0,12.19,32.7,358,0.0
183,2021-01-15,Ashanti,Maize,9.97,2460.59,2.63,30.5,251,6471.3517
184,2021-01-15,Ashanti,Cassava,3.43,0.0,0.95,32.4,354,0.0
185,2021-01-15,Ashanti,Cocoa,5.53,0.0,10.61,33.9,201,0.0
186,2021-01-15,Northern,Maize,8.01,0.0,1.83,28.0,277,0.0
187,2021-01-15,Northern,Cassava,0.87,0.0,1.24,26.1,286,0.0
188,2021-01-15,Northern,Cocoa,3.63,265.93,10.75,30.0,347,2858.7475
189,2021-01-15,Western,Maize,0.0,0.0,2.02,32.7,160,0.0
190,2021-01-15,Western,Cassava,6.08,0.0,0.91,30.5,394,0.0
191,2021-01-15,Western,Cocoa,0.0,0.0,9.59,33.7,352,0.0
192,2021-01-15,Eastern,Maize,10.55,0.0,2.09,28.5,381,0.0
193,2021-01-15,Eastern,Cassava,5.39,0.0,0.94,25.7,170,0.0
194,2021-01-15,Eastern,Cocoa,0.0,0.0,12.35,31.1,361,0.0
195,2021-01-16,Greater Accra,Maize,4.09,954.34,2.26,33.4,334,2156.8084
196,2021-01-16,Greater Accra,Cassava,0.67,5169.89,0.91,29.8,61,4704.5999
197,2021-01-16,Ashanti,Maize,12.01,0.0,2.24,28.9,477,0.0
198,2021-01-16,Ashanti,Cassava,2.25,6854.85,1.25,31.3,57,8568.5625
199,2021-01-16,Ashanti,Cocoa,0.0,0.0,9.78,30.9,360,0.0
200,2021-01-16,Northern,Maize,8.14,1177.66,2.51,32.6,418,2955.9266
201,2021-01-16,Northern,Cocoa,1.18,0.0,10.71,30.5,139,0.0
202,2021-01-16,Western,Maize,3.92,0.0,2.08,32.7,138,0.0
203,2021-01-16,Western,Cassava,14.23,0.0,1.03,27.3,151,0.0
204,2021-01-16,Western,Cocoa,12.18,0.0,10.38,32.7,178,0.0
205,2021-01-16,Eastern,Cassava,0.0,0.0,1.15,27.9,466,0.0
206,2021-01-16,Eastern,Cocoa,0.0,185.98,11.6,30.7,379,2157.368
207,2021-01-17,Greater Accra,Maize,4.67,0.0,2.58,32.1,202,0.0
208,2021-01-17,Greater Accra,Cassava,2.41,0.0,1.08,30.1,481,0.0
209,2021-01-17,Greater Accra,Cocoa,4.72,0.0,10.86,33.0,166,0.0
210,2021-01-17,Ashanti,Maize,7.8,0.0,1.86,33.3,324,0.0
211,2021-01-17,Ashanti,Cocoa,0.0,0.0,11.32,27.1,469,0.0
212,2021-01-17,Northern,Maize,0.0,0.0,2.51,29.2,312,0.0
213,2021-01-17,Northern,Cassava,6.7,7759.02,0.97,33.6,423,7526.249400000001
214,2021-01-17,Northern,Cocoa,4.19,248.97,13.07,30.0,167,3254.0379000000003
215,2021-01-17,Western,Maize,8.86,1761.22,2.58,31.7,98,4543.9476
216,2021-01-17,Western,Cassava,12.85,13647.15,1.04,30.7,195,14193.036
217,2021-01-17,Western,Cocoa,0.0,351.2,11.04,29.4,199,3877.2479999999996
218,2021-01-17,Eastern,Cassava,4.11,0.0,0.96,27.9,490,0.0
219,2021-01-17,Eastern,Cocoa,9.15,0.0,10.85,31.2,290,0.0
220,2021-01-18,Greater Accra,Cassava,2.27,0.0,1.0,33.1,158,0.0
221,2021-01-18,Ashanti,Cassava,0.0,0.0,0.9,29.2,179,0.0
222,2021-01-18,Ashanti,Cocoa,0.0,0.0,10.18,29.9,116,0.0
223,2021-01-18,Northern,Maize,5.76,0.0,2.37,29.6,403,0.0
224,2021-01-18,Northern,Cassava,0.0,0.0,0.9,33.6,336,0.0
225,2021-01-18,Northern,Cocoa,0.0,0.0,9.04,27.0,185,0.0
226,2021-01-18,Western,Maize,5.66,1641.34,1.94,33.9,409,3184.1996
227,2021-01-18,Western,Cassava,0.98,10365.61,1.22,30.1,87,12646.0442
228,2021-01-18,Western,Cocoa,1.58,248.16,10.48,27.8,307,2600.7168
229,2021-01-18,Eastern,Maize,1.89,0.0,2.32,29.2,468,0.0
230,2021-01-18,Eastern,Cassava,0.0,0.0,1.03,29.0,98,0.0
231,2021-01-19,Greater Accra,Maize,3.84,0.0,1.88,28.0,115,0.0
232,2021-01-19,Greater Accra,Cassava,3.05,0.0,1.1,33.3,499,0.0
233,2021-01-19,Ashanti,Maize,16.25,0.0,1.95,29.0,474,0.0
234,2021-01-19,Ashanti,Cassava,5.5,9276.57,1.07,26.3,222,9925.929900000001
235,2021-01-19,Ashanti,Cocoa,3.86,0.0,10.9,25.1,439,0.0
236,2021-01-19,Northern,Cocoa,0.4,0.0,11.43,25.9,394,0.0
237,2021-01-19,Western,Cassava,0.0,7606.95,0.91,30.9,301,6922.3245
238,2021-01-19,Western,Cocoa,6.37,272.54,9.97,25.7,469,2717.2238
239,2021-01-19,Eastern,Maize,0.0,0.0,2.16,32.3,278,0.0
240,2021-01-19,Eastern,Cassava,7.04,6895.84,1.04,31.9,198,7171.6736
241,2021-01-19,Eastern,Cocoa,0.0,211.18,13.18,32.0,222,2783.3524
242,2021-01-20,Greater Accra,Cassava,2.04,0.0,1.07,26.7,166,0.0
243,2021-01-20,Greater Accra,Cocoa,4.34,0.0,10.63,27.9,471,0.0
244,2021-01-20,Ashanti,Maize,6.59,1309.09,2.37,33.4,179,3102.5433
245,2021-01-20,Ashanti,Cassava,2.18,0.0,1.14,33.0,249,0.0
246,2021-01-20,Ashanti,Cocoa,11.3,0.0,12.78,25.1,477,0.0
247,2021-01-20,Northern,Maize,3.26,844.54,2.62,31.4,363,2212.6948
248,2021-01-20,Northern,Cassava,6.9,0.0,1.25,31.8,100,0.0
249,2021-01-20,Northern,Cocoa,4.19,164.28,9.38,33.7,272,1540.9464
250,2021-01-20,Western,Maize,4.89,0.0,2.37,24.1,341,0.0
251,2021-01-20,Western,Cassava,10.66,14035.92,1.19,26.9,307,16702.7448
252,2021-01-20,Western,Cocoa,13.48,0.0,12.48,30.6,60,0.0
253,2021-01-20,Eastern,Cocoa,3.34,0.0,9.73,26.7,262,0.0
254,2021-01-21,Greater Accra,Maize,0.0,1457.38,2.38,27.2,88,3468.5644
255,2021-01-21,Greater Accra,Cassava,7.66,0.0,1.21,31.3,184,0.0
256,2021-01-21,Greater Accra,Cocoa,0.0,0.0,12.23,26.7,397,0.0
257,2021-01-21,Ashanti,Cassava,3.7,9055.97,1.21,31.3,220,10957.723699999999
258,2021-01-21,Ashanti,Cocoa,8.87,0.0,9.48,25.5,79,0.0
259,2021-01-21,Northern,Maize,2.21,0.0,1.81,26.5,310,0.0
260,2021-01-21,Northern,Cassava,3.21,8465.27,1.14,27.1,454,9650.407799999999
261,2021-01-21,Northern,Cocoa,2.4,0.0,11.39,24.1,139,0.0
262,2021-01-21,Western,Maize,6.66,2071.33,2.45,30.8,449,5074.7585
263,2021-01-21,Western,Cocoa,15.7,0.0,11.55,27.9,359,0.0
264,2021-01-21,Eastern,Maize,0.0,0.0,2.11,31.9,69,0.0
265,2021-01-21,Eastern,Cassava,12.37,8228.76,1.15,24.5,73,9463.073999999999
266,2021-01-21,Eastern,Cocoa,6.68,339.25,11.15,24.8,455,3782.6375000000003
267,2021-01-22,Greater Accra,Maize,4.42,0.0,1.91,31.4,195,0.0
268,2021-01-22,Greater Accra,Cassava,4.27,0.0,1.18,31.3,167,0.0
269,2021-01-22,Greater Accra,Cocoa,6.02,238.83,12.6,27.8,186,3009.2580000000003
270,2021-01-22,Ashanti,Maize,3.69,0.0,2.64,25.7,156,0.0
271,2021-01-22,Ashanti,Cocoa,0.0,0.0,10.13,28.3,118,0.0
272,2021-01-22,Northern,Maize,1.7,0.0,2.2,28.8,119,0.0
273,2021-01-22,Northern,Cassava,0.0,0.0,1.06,24.1,457,0.0
274,2021-01-22,Western,Maize,0.14,1797.58,2.02,26.7,231,3631.1115999999997
275,2021-01-22,Western,Cassava,7.98,0.0,0.89,30.2,412,0.0
276,2021-01-22,Eastern,Maize,1.84,0.0,2.57,24.2,297,0.0
277,2021-01-22,Eastern,Cassava,0.25,0.0,1.19,30.2,214,0.0
278,2021-01-22,Eastern,Cocoa,4.83,0.0,9.87,29.7,452,0.0
279,2021-01-23,Greater Accra,Maize,2.83,0.0,2.27,33.8,110,0.0
280,2021-01-23,Greater Accra,Cassava,3.56,8275.86,1.09,24.8,247,9020.6874
281,2021-01-23,Greater Accra,Cocoa,3.61,183.18,12.69,28.6,216,2324.5542
282,2021-01-23,Ashanti,Maize,0.0,0.0,2.49,28.6,241,0.0
283,2021-01-23,Ashanti,Cassava,7.3,0.0,1.18,31.5,192,0.0
284,2021-01-23,Ashanti,Cocoa,7.34,0.0,12.73,26.4,217,0.0
285,2021-01-23,Northern,Maize,7.59,0.0,2.23,25.1,485,0.0
286,2021-01-23,Northern,Cassava,2.31,6509.63,0.95,25.9,57,6184.1485
287,2021-01-23,Northern,Cocoa,10.69,0.0,10.71,33.2,153,0.0
288,2021-01-23,Western,Maize,8.61,0.0,1.95,30.1,414,0.0
289,2021-01-23,Western,Cassava,1.68,0.0,1.13,25.5,309,0.0
290,2021-01-23,Western,Cocoa,0.0,0.0,9.53,31.4,424,0.0
291,2021-01-23,Eastern,Maize,0.15,0.0,2.17,25.6,332,0.0
292,2021-01-23,Eastern,Cassava,2.03,9413.82,0.95,27.8,276,8943.128999999999
293,2021-01-23,Eastern,Cocoa,7.37,0.0,10.37,28.7,480,0.0
294,2021-01-24,Greater Accra,Maize,5.71,1631.6,2.55,29.3,326,4160.58
295,2021-01-24,Ashanti,Maize,4.78,1735.86,2.18,29.8,322,3784.1748000000002
296,2021-01-24,Ashanti,Cassava,5.79,0.0,1.13,25.3,321,0.0
297,2021-01-24,Northern,Maize,0.0,0.0,2.65,24.7,177,0.0
298,2021-01-24,Northern,Cassava,5.95,0.0,0.99,26.1,276,0.0
299,2021-01-24,Northern,Cocoa,3.64,270.28,9.28,33.0,164,2508.1983999999998
300,2021-01-24,Western,Maize,8.71,0.0,1.9,28.5,87,0.0
301,2021-01-24,Western,Cassava,3.86,0.0,1.06,24.2,473,0.0
302,2021-01-24,Western,Cocoa,7.98,405.81,10.27,33.1,475,4167.6687
303,2021-01-24,Eastern,Maize,6.83,0.0,2.34,29.3,324,0.0
304,2021-01-24,Eastern,Cassava,1.36,0.0,1.09,25.0,335,0.0
305,2021-01-25,Greater Accra,Maize,3.83,0.0,1.86,32.8,51,0.0
306,2021-01-25,Greater Accra,Cassava,0.66,0.0,0.94,24.8,111,0.0
307,2021-01-25,Greater Accra,Cocoa,0.4,271.95,11.58,25.1,250,3149.181
308,2021-01-25,Ashanti,Maize,9.91,0.0,2.55,29.7,350,0.0
309,2021-01-25,Ashanti,Cassava,0.56,7568.28,0.93,25.7,70,7038.5004
310,2021-01-25,Ashanti,Cocoa,8.31,0.0,10.04,29.1,77,0.0
311,2021-01-25,Northern,Maize,4.41,0.0,2.03,28.1,263,0.0
312,2021-01-25,Northern,Cassava,0.0,0.0,0.89,25.4,429,0.0
313,2021-01-25,Northern,Cocoa,9.77,0.0,10.93,28.7,226,0.0
314,2021-01-25,Western,Maize,0.0,1195.2,1.84,25.1,139,2199.168
315,2021-01-25,Western,Cassava,3.79,8192.47,1.2,26.8,66,9830.963999999998
316,2021-01-25,Eastern,Maize,0.03,0.0,2.23,31.0,196,0.0
317,2021-01-25,Eastern,Cassava,6.33,0.0,1.23,30.7,158,0.0
318,2021-01-25,Eastern,Cocoa,0.0,0.0,13.09,32.2,57,0.0
319,2021-01-26,Greater Accra,Maize,2.44,1503.67,2.02,30.7,210,3037.4134000000004
320,2021-01-26,Greater Accra,Cassava,3.67,7019.48,1.17,24.7,427,8212.791599999999
321,2021-01-26,Greater Accra,Cocoa,9.55,0.0,12.81,30.0,447,0.0
322,2021-01-26,Ashanti,Maize,5.57,0.0,2.55,31.2,204,0.0
323,2021-01-26,Ashanti,Cassava,6.76,0.0,1.05,24.8,406,0.0
324,2021-01-26,Northern,Maize,4.95,0.0,2.36,32.5,487,0.0
325,2021-01-26,Northern,Cassava,2.83,0.0,1.11,26.3,337,0.0
326,2021-01-26,Northern,Cocoa,3.07,0.0,10.86,27.2,97,0.0
327,2021-01-26,Western,Cassava,2.06,0.0,0.93,30.5,470,0.0
328,2021-01-26,Western,Cocoa,0.0,205.64,11.78,30.4,476,2422.4392
329,2021-01-26,Eastern,Maize,3.74,0.0,2.26,32.4,489,0.0
330,2021-01-26,Eastern,Cassava,4.26,0.0,0.92,28.9,425,0.0
331,2021-01-26,Eastern,Cocoa,0.0,0.0,9.66,28.9,475,0.0
